,player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),draft_status,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,nba team,ROUND NUMBER,ROUND PICK,OVERALL PICK
51,Gordon Hayward,Butler,Horz,37,81.2,113.3,24.4,52.7,60.13,7.6,23.4,12.1,17.5,179,216,0.829,126,213,0.592,47,160,0.294,2.8,2.0,57.9,So,6-09,4.5571,123.856,2.5,2010,all,,0.72942144,89.0,128.0,34.0,77.0,0.6953,0.4416,19.0,20.0,0.95,Drafted,88.9765,84.8713,4.82144,258.749,8.61433,3.93472,4.67961,8.95662,33.4865,5.68736,3.26926,1.9459,6.2973,8.2432,1.6757,1.0811,0.8108,15.4595,Utah Jazz,1,9,9
52,Ed Davis,North Carolina,ACC,23,43.0,112.0,21.5,57.8,60.66,10.8,24.2,6.8,18.3,87,132,0.659,111,192,0.578,0,0,0.0,9.5,0.9,68.8,So,6-10,3.20793,117.857,2.6,2010,all,98.2,0.47825,42.0,50.0,61.0,132.0,0.84,0.4621,26.0,27.0,0.963,Drafted,92.5656,87.8784,3.71526,160.882,7.56537,1.89527,5.6701,6.81338,27.8696,3.62077,3.19261,2.8696,6.6957,9.5652,0.9565,0.4348,2.7826,13.4348,Toronto Raptors,1,13,13
53,Willie Warren,Oklahoma,B12,21,53.6,101.7,29.6,50.0,56.73,2.4,9.6,28.2,23.6,101,127,0.795,76,145,0.524,30,97,0.309,0.2,1.8,52.5,So,6-04,3.65144,117.88,2.9,2010,all,98.0,1.07499674,49.0,84.0,27.0,61.0,0.5833,0.4426,1.0,2.0,0.5,Drafted,109.865,105.003,2.35241,105.325,1.96716,3.238,-1.27084,2.67541,31.9048,3.15863,-0.483223,0.6667,2.619,3.2857,4.0952,1.0,0.0476,16.3333,Los Angeles Clippers,2,24,54
54,Devin Ebanks,West Virginia,BE,34,75.1,108.5,20.6,46.2,52.69,9.5,18.0,14.7,19.4,117,152,0.77,141,285,0.495,3,30,0.1,2.2,1.9,48.3,So,6-09,3.70978,116.389,1.9,2010,all,91.2,1.10666851,90.0,136.0,51.0,149.0,0.6618,0.3423,10.0,10.0,1.0,Drafted,95.485,87.1729,4.57632,222.548,7.22896,3.22495,4.00401,6.42393,34.1471,3.78181,2.64213,2.9118,5.1765,8.0882,2.4412,1.0588,0.6765,12.0,Los Angeles Lakers,2,13,43
55,Andy Rautins,Syracuse,BE,35,81.2,115.1,18.7,60.3,63.19,2.0,8.8,23.9,25.6,66,81,0.815,32,56,0.571,98,241,0.407,0.8,3.4,27.3,Sr,6-04,3.64212,116.814,2.7,2010,all,,1.74489297,14.0,24.0,16.0,30.0,0.5833,0.5333,1.0,1.0,1.0,Drafted,95.4256,89.4601,4.17588,216.229,7.61244,6.0016,1.61084,7.32451,32.4857,4.40021,2.9243,0.5143,2.8571,3.3714,4.8857,1.9714,0.2286,12.1143,New York Knicks,2,8,38
56,Xavier Henry,Kansas,B12,36,68.3,113.7,21.7,55.5,59.1,5.2,11.5,9.8,18.2,90,115,0.783,93,189,0.492,69,165,0.418,1.8,3.1,32.5,Fr,6-06,3.50784,121.52,2.7,2010,all,99.0,0.76809101,60.0,90.0,33.0,99.0,0.6667,0.3333,17.0,17.0,1.0,Drafted,94.3044,87.9117,3.68132,187.834,8.26661,5.41597,2.85064,7.97607,27.5,5.49854,2.47754,1.1944,3.1667,4.3611,1.4722,1.5,0.5,13.4167,Memphis Grizzlies,1,12,12
57,Derrick Favors,Georgia Tech,ACC,35,69.2,109.0,21.8,61.5,62.31,12.5,20.2,7.3,22.9,86,137,0.628,177,287,0.617,0,1,0.0,7.8,1.8,47.6,Fr,6-10,3.27092,118.568,3.8,2010,all,100.0,0.38374508,137.0,175.0,40.0,112.0,0.7829,0.3571,53.0,56.0,0.9464,Drafted,88.5618,84.2157,4.06076,235.754,8.92075,2.8466,6.07414,7.50762,27.7714,3.82367,3.68395,3.0571,5.5714,8.6286,0.9429,0.8857,2.0571,12.5714,New Jersey Nets,1,3,3
58,Tiny Gallon,Oklahoma,B12,30,57.0,102.9,24.7,55.6,58.43,13.2,25.5,7.6,23.4,62,89,0.697,118,206,0.573,4,17,0.235,3.3,1.7,39.9,Fr,6-09,2.41622,114.088,4.8,2010,all,98.2,0.34286203,86.0,131.0,32.0,75.0,0.6565,0.4267,22.0,26.0,0.8462,Drafted,102.044,95.9972,2.49168,154.541,1.9953,0.508437,1.48686,1.58633,23.7333,1.10044,0.485893,2.7667,5.1667,7.9333,0.8,0.7,0.7667,10.3333,Milwaukee Bucks,2,17,47
59,Jerome Jordan,Tulsa,CUSA,34,74.9,111.1,25.9,55.3,59.66,9.3,23.8,10.1,17.1,165,240,0.688,183,331,0.553,0,0,0.0,7.7,0.9,72.5,Sr,7-01,3.86648,121.72,3.8,2010,all,38.0,0.5714223,117.0,154.0,66.0,177.0,0.7597,0.3729,59.0,62.0,0.9516,Drafted,91.9166,89.0593,3.89043,233.614,5.4439,1.44189,4.00202,7.1779,29.9412,4.16539,3.01251,2.3235,6.6765,9.0,1.2941,0.4412,2.4118,15.6176,Milwaukee Bucks,2,14,44
60,Darington Hobson,New Mexico,MWC,35,83.3,105.9,27.7,48.4,52.01,7.0,24.6,29.3,18.7,130,199,0.653,154,331,0.465,39,108,0.361,1.6,2.2,45.3,Jr,6-07,4.01051,119.178,2.3,2010,all,71.0,1.53846676,117.0,187.0,37.0,143.0,0.6257,0.2587,16.0,19.0,0.8421,Drafted,94.7402,91.7261,4.02274,255.216,7.6425,4.40269,3.23981,7.88142,33.5714,5.63049,2.25093,2.1429,7.1429,9.2857,4.5714,1.2571,0.4286,15.8571,Milwaukee Bucks,2,7,37
61,Hassan Whiteside,Marshall,CUSA,31,65.6,101.7,24.9,51.0,53.55,12.0,24.0,1.8,16.4,101,170,0.594,143,284,0.504,3,5,0.6,18.3,1.2,58.8,Fr,7-01,2.27687,109.519,3.8,2010,all,,0.11864228,77.0,107.0,66.0,177.0,0.7196,0.3729,40.0,41.0,0.9756,Drafted,88.111,86.6474,3.62789,231.982,4.99274,-2.30069,7.29344,6.74362,26.5484,2.06156,4.68207,2.7742,6.129,8.9032,0.2258,0.5484,5.2581,12.7742,Sacramento Kings,2,3,33
62,Elliot Williams,Memphis,CUSA,34,83.3,112.8,27.7,53.6,59.85,2.7,11.3,24.0,18.8,194,256,0.758,118,224,0.527,60,164,0.366,0.4,2.4,66.0,So,6-05,4.82942,126.27,2.4,2010,all,84.8,1.27998773,98.0,152.0,20.0,72.0,0.6447,0.2778,30.0,33.0,0.9091,Drafted,100.027,97.5047,3.35336,187.369,4.81809,5.46123,-0.64314,6.0389,33.3235,5.84748,0.191424,0.7353,3.2353,3.9706,3.7647,1.3235,0.1176,17.9412,Portland Trail Blazers,1,22,22
63,Avery Bradley,Texas,B12,34,72.9,105.2,19.0,48.9,49.58,3.5,6.6,12.4,14.6,36,66,0.545,117,256,0.457,42,112,0.375,1.6,2.4,17.9,Fr,6-02,2.47167,108.917,3.2,2010,all,99.4,1.36537211,47.0,89.0,70.0,167.0,0.5281,0.4192,14.0,16.0,0.875,Drafted,97.7023,92.5408,3.43879,176.727,5.12429,3.17971,1.94458,4.06416,29.5,1.96455,2.09962,0.9706,1.9118,2.8824,2.0882,1.2941,0.5294,11.6471,Boston Celtics,1,19,19
64,Daniel Orton,Kentucky,SEC,38,32.7,95.1,15.9,52.7,53.34,10.3,16.3,5.0,26.8,33,63,0.524,48,89,0.539,0,2,0.0,10.6,2.4,69.2,Fr,6-11,0.38517,92.9901,7.0,2010,all,96.6,0.39469999,31.0,43.0,17.0,46.0,0.7209,0.3696,13.0,16.0,0.8125,Drafted,86.2755,82.1487,2.01344,124.495,7.4612,-0.607627,8.06883,3.43511,13.2105,-2.35929,5.7944,1.1842,2.1316,3.3158,0.3947,0.5526,1.3947,3.3947,Orlando Magic,1,29,29
65,Eric Bledsoe,Kentucky,SEC,37,73.1,100.4,20.2,54.0,56.56,2.0,8.6,16.8,27.7,82,123,0.667,95,184,0.516,49,128,0.383,1.1,2.6,39.4,Fr,6-01,2.15166,105.16,2.9,2010,all,86.6,0.95536839,72.0,110.0,21.0,68.0,0.6545,0.3088,6.0,6.0,1.0,Drafted,94.8649,90.0148,3.80115,201.434,4.2837,1.79336,2.49034,3.62646,30.3243,0.921529,2.70493,0.5135,2.5676,3.0811,2.8919,1.4054,0.3243,11.3243,Oklahoma City Thunder,1,18,18
66,John Wall,Kentucky,SEC,37,83.9,108.7,26.9,50.3,56.18,2.7,10.1,34.8,24.2,175,232,0.754,165,324,0.509,37,114,0.325,1.5,2.9,53.0,Fr,6-04,4.60411,123.007,2.2,2010,all,99.8,1.61745724,116.0,182.0,40.0,127.0,0.6374,0.315,33.0,36.0,0.9167,Drafted,93.3072,88.793,4.50963,247.229,7.09124,4.39997,2.69126,7.72509,34.8108,4.82966,2.89544,0.8108,3.4865,4.2973,6.5135,1.7838,0.5135,16.6486,Washington Wizards,1,1,1
67,Hamady Ndiaye,Rutgers,BE,31,70.3,109.6,16.7,58.2,59.7,9.3,17.2,3.2,17.5,72,117,0.615,113,194,0.582,0,0,0.0,14.6,0.9,60.3,Sr,7-01,2.32928,108.382,4.0,2010,all,86.4,0.29547697,95.0,131.0,18.0,63.0,0.7252,0.2857,66.0,73.0,0.9041,Drafted,99.2266,95.0523,3.0682,195.171,6.30009,-0.129119,6.42921,5.04566,28.2258,1.02186,4.0238,2.3548,4.6452,7.0,0.4194,0.4194,4.4839,9.6129,Minnesota Timberwolves,2,26,56
68,Lance Stephenson,Cincinnati,BE,34,67.6,99.3,26.0,46.2,49.35,7.3,14.0,19.1,19.5,79,119,0.664,146,295,0.495,16,73,0.219,0.7,1.9,32.3,Fr,6-05,2.57791,111.203,2.8,2010,all,98.4,1.03702143,99.0,151.0,47.0,143.0,0.6556,0.3287,15.0,16.0,0.9375,Drafted,99.2715,93.3915,3.1973,171.527,3.66146,1.66201,1.99945,4.56471,28.2353,2.87922,1.68549,1.8529,3.5,5.3529,2.4706,0.9118,0.1765,12.3235,Indiana Pacers,2,10,40
69,DeMarcus Cousins,Kentucky,SEC,38,58.2,113.5,30.8,56.0,57.93,19.9,24.9,9.2,16.0,162,268,0.604,205,363,0.565,1,6,0.167,7.5,2.4,72.6,Fr,6-11,4.03974,134.534,5.5,2010,all,99.6,0.487187,144.0,189.0,57.0,163.0,0.7619,0.3497,53.0,57.0,0.9298,Drafted,83.3244,79.3387,3.80857,242.468,9.60971,4.65779,4.95191,9.60263,23.5,6.16153,3.4411,4.0526,5.7895,9.8421,1.0,0.9737,1.7632,15.1316,Sacramento Kings,1,5,5
70,Charles Jenkins,Hofstra,CAA,32,92.4,123.2,28.7,57.7,62.93,1.6,8.6,31.3,12.8,179,217,0.825,176,317,0.555,63,152,0.414,1.8,2.7,46.3,Sr,6-03,6.65016,136.761,2.1,2011,all,,2.11262838,93.0,139.0,83.0,178.0,0.6691,0.4663,0.0,0.0,,Drafted,107.807,106.346,2.6405,192.184,7.09443,8.32456,-1.23013,9.82813,37.4062,8.91582,0.912311,0.5,2.7188,3.2188,4.6875,1.6562,0.625,22.5,Golden State Warriors,2,14,44
71,Vernon Macklin,Florida,SEC,37,59.7,107.5,24.3,59.3,57.77,10.9,15.0,7.7,17.7,46,102,0.451,191,322,0.593,0,0,0.0,3.1,0.9,31.7,Sr,6-10,2.82126,118.954,4.0,2011,all,95.0,0.47618489,128.0,168.0,63.0,154.0,0.7619,0.4091,32.0,35.0,0.9143,Drafted,97.7281,93.3167,2.78675,155.033,3.88301,2.42605,1.45697,3.6651,24.4595,2.7662,0.898895,2.2162,3.1622,5.3784,0.8108,0.3514,0.7027,11.5676,Detroit Pistons,2,22,52
72,Kyle Singler,Duke,ACC,37,86.9,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,125,155,0.806,157,316,0.497,62,193,0.321,0.8,1.5,30.5,Sr,6-08,4.68934,123.808,3.0,2011,all,99.0,0.8571278,80.0,113.0,77.0,203.0,0.708,0.3793,4.0,4.0,1.0,Drafted,94.0388,89.4209,4.52346,235.792,5.95265,4.57615,1.3765,5.3525,34.7568,4.29121,1.06129,2.3784,4.4595,6.8378,1.6216,0.9189,0.3243,16.8919,Detroit Pistons,2,3,33
73,Nolan Smith,Duke,ACC,37,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,187,230,0.813,203,405,0.501,57,163,0.35,0.2,2.0,40.5,Sr,6-02,6.14746,136.992,2.3,2011,all,95.8,1.60168696,121.0,180.0,82.0,225.0,0.6722,0.3644,19.0,21.0,0.9048,Drafted,94.9421,90.2798,4.32707,221.453,7.92525,6.5307,1.39455,9.04699,34.027,7.42587,1.62112,1.1892,3.2973,4.4865,5.1081,1.2162,0.0811,20.6486,Portland Trail Blazers,1,21,21
74,E'Twaun Moore,Purdue,B10,34,84.4,112.1,26.8,51.8,54.55,5.1,12.5,20.9,11.9,100,141,0.709,151,319,0.473,70,175,0.4,1.6,2.2,28.5,Sr,6-04,5.07602,128.26,2.5,2011,all,95.0,1.77052561,44.0,77.0,107.0,242.0,0.5714,0.4421,4.0,4.0,1.0,Drafted,93.8872,88.3413,4.51998,210.854,9.05063,6.40941,2.64122,9.36297,33.8824,6.94046,2.42252,1.5,3.6471,5.1471,3.1765,1.2059,0.5294,18.0,Boston Celtics,2,25,55
75,JaJuan Johnson,Purdue,B10,34,88.1,113.9,27.3,50.9,56.36,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,Sr,6-10,5.65182,131.13,1.8,2011,all,91.6,0.58927814,49.0,74.0,193.0,395.0,0.6622,0.4886,23.0,26.0,0.8846,Drafted,89.3372,84.06,5.24379,262.089,7.16089,3.02668,4.13421,9.51149,35.3824,6.66198,2.84951,2.4118,6.1471,8.5588,0.9706,0.8824,2.3235,20.5294,New Jersey Nets,1,27,27
76,Lavoy Allen,Temple,A10,33,81.5,107.7,20.1,48.8,51.9,9.3,20.2,13.6,14.7,69,99,0.697,149,304,0.49,5,17,0.294,5.4,1.3,30.8,Sr,6-09,2.94744,110.239,2.7,2011,all,78.8,1.38884142,93.0,122.0,56.0,182.0,0.7623,0.3077,15.0,16.0,0.9375,Drafted,92.0014,89.5171,4.35626,227.605,5.87426,1.2803,4.59396,5.00454,33.9394,2.33665,2.66789,2.6667,5.9091,8.5758,2.2727,0.697,1.8485,11.5758,Philadelphia 76ers,2,20,50
77,Jon Leuer,Wisconsin,B10,34,83.1,116.8,29.4,52.6,56.8,6.5,22.6,12.8,11.3,113,134,0.843,173,337,0.513,54,146,0.37,3.1,1.0,27.7,Sr,6-10,6.02112,137.105,2.6,2011,all,84.0,1.03708601,57.0,75.0,116.0,262.0,0.76,0.4427,17.0,18.0,0.9444,Drafted,98.659,91.8777,4.04456,196.596,6.9244,5.3846,1.5398,8.76528,33.5,7.50485,1.26043,1.6765,5.5588,7.2353,1.6471,0.5,0.8824,18.2647,Milwaukee Bucks,2,10,40
78,Chandler Parsons,Florida,SEC,36,81.1,110.3,20.1,54.6,55.14,7.3,19.3,21.6,20.3,54,97,0.557,112,206,0.544,43,117,0.368,1.3,1.7,30.0,Sr,6-10,3.5965,116.025,2.2,2011,all,94.4,1.67902226,89.0,121.0,23.0,85.0,0.7355,0.2706,22.0,25.0,0.88,Drafted,95.262,90.6999,4.1897,232.775,8.60912,5.0632,3.54592,7.65528,34.1389,4.95164,2.70364,2.0556,5.6944,7.75,3.7778,0.9444,0.4167,11.3056,Houston Rockets,2,8,38
79,Keith Benson,Oakland,Sum,34,81.0,114.5,24.1,55.4,57.89,9.1,24.3,6.0,13.3,150,236,0.636,217,391,0.555,8,22,0.364,9.8,1.4,57.1,Sr,6-11,3.8947,119.589,3.8,2011,all,,0.5538236,138.0,179.0,79.0,212.0,0.7709,0.3726,46.0,46.0,1.0,Drafted,98.1106,95.6684,3.51227,275.835,5.21208,1.71707,3.49501,5.39796,32.5,3.50012,1.89784,2.5588,7.5588,10.1176,1.0588,0.7941,3.5882,17.8824,Atlanta Hawks,2,18,48
80,Justin Harper,Richmond,A10,37,79.1,121.3,24.7,61.8,64.17,6.5,18.6,8.9,12.1,94,118,0.797,168,287,0.585,77,172,0.448,4.0,1.2,25.7,Sr,6-10,5.06887,131.119,2.8,2011,all,,0.76788899,106.0,136.0,62.0,151.0,0.7794,0.4106,15.0,17.0,0.8824,Drafted,95.0436,92.7825,3.81102,221.09,7.16881,5.51562,1.65319,9.26679,31.8378,8.10676,1.16003,1.6757,5.2432,6.9189,1.1622,0.6216,1.2162,17.8649,Cleveland Cavaliers,2,2,32
81,Andrew Goudelock,College of Charleston,SC,37,88.0,113.6,33.1,54.9,57.5,2.3,9.9,26.4,16.3,110,134,0.821,187,377,0.496,131,322,0.407,0.5,1.5,19.2,Sr,6-02,5.77155,132.194,2.0,2011,all,,1.31932084,41.0,68.0,146.0,309.0,0.6029,0.4725,7.0,8.0,0.875,Drafted,104.713,104.361,2.75546,204.986,3.82596,5.92043,-2.09447,6.30415,35.1892,7.66592,-1.36177,0.6757,3.1892,3.8649,4.2432,0.8919,0.1892,23.7027,Los Angeles Lakers,2,16,46
82,Markieff Morris,Kansas,B12,38,60.7,118.0,25.2,62.7,64.16,13.9,24.7,11.0,19.0,103,153,0.673,170,272,0.625,25,59,0.424,4.9,1.9,46.2,Jr,6-10,3.81565,130.2,4.7,2011,all,76.6,0.67947974,128.0,168.0,42.0,104.0,0.7619,0.4038,47.0,50.0,0.94,Drafted,87.4686,82.7681,3.72177,223.462,10.6049,5.65606,4.94879,9.37206,24.3684,6.16321,3.20885,2.7105,5.6053,8.3158,1.3947,0.7895,1.1316,13.6316,Phoenix Suns,1,13,13
83,Shelvin Mack,Butler,Horz,37,79.4,107.1,27.9,49.0,53.25,2.7,14.3,25.1,16.9,120,156,0.769,107,237,0.451,85,242,0.351,0.3,1.4,32.6,Jr,6-03,4.02315,121.432,2.2,2011,all,41.4,1.41756451,59.0,95.0,48.0,142.0,0.6211,0.338,2.0,2.0,1.0,Drafted,100.157,96.6054,3.34166,195.04,5.48578,4.54418,0.941604,6.33506,32.1892,5.59095,0.744108,0.7297,3.7568,4.4865,3.4865,0.7297,0.0811,15.9189,Washington Wizards,2,4,34
84,Reggie Jackson,Boston College,ACC,34,85.4,120.5,27.2,58.5,61.79,3.9,11.3,29.7,16.0,109,137,0.796,148,266,0.556,71,169,0.42,1.7,1.9,31.5,Jr,6-03,6.25729,137.736,2.0,2011,all,82.4,1.87651111,99.0,150.0,49.0,116.0,0.66,0.4224,25.0,25.0,1.0,Drafted,108.416,103.775,2.74324,187.742,7.80425,7.60689,0.197362,9.35972,34.1471,8.68046,0.679261,1.0294,3.2647,4.2941,4.4706,1.0588,0.5294,18.1765,Oklahoma City Thunder,1,24,24
85,Iman Shumpert,Georgia Tech,ACC,31,79.4,107.1,28.7,45.4,51.72,5.8,16.4,25.7,14.6,141,175,0.806,135,285,0.474,42,151,0.278,0.7,5.0,40.1,Jr,6-05,4.23152,123.342,3.5,2011,all,95.6,1.5000001,79.0,114.0,56.0,171.0,0.693,0.3275,19.0,25.0,0.76,Drafted,91.788,88.6926,4.21159,225.934,8.39649,5.09881,3.29768,9.1732,32.0,5.2283,3.9449,1.7419,4.1935,5.9355,3.4839,2.7419,0.1935,17.3226,New York Knicks,1,17,17
86,Josh Harrellson,Kentucky,SEC,38,71.0,131.3,13.7,61.5,61.59,15.2,18.9,5.1,11.3,33,56,0.589,125,198,0.631,2,10,0.2,5.2,2.0,26.9,Sr,6-10,4.03258,125.838,3.4,2011,all,46.2,1.07152549,101.0,128.0,24.0,70.0,0.7891,0.3429,18.0,19.0,0.9474,Drafted,91.5978,86.3839,3.99637,234.113,10.4143,5.62008,4.7942,7.83255,28.5,4.69384,3.13871,3.6842,4.9737,8.6579,0.7895,0.9211,1.5,7.6053,New Orleans Hornets,2,15,45
87,DeAndre Liggins,Kentucky,SEC,38,78.8,106.5,15.9,49.2,52.25,2.2,11.8,14.2,17.3,68,105,0.648,76,172,0.442,36,92,0.391,2.3,2.3,39.8,Jr,6-06,2.24478,105.463,3.1,2011,all,93.4,1.74540555,42.0,73.0,34.0,99.0,0.5753,0.3434,6.0,8.0,0.75,Drafted,95.8686,90.4115,3.99153,220.706,6.25092,2.90719,3.34373,4.90757,31.6053,1.1657,3.74188,0.5789,3.4474,4.0263,2.5263,1.2105,0.7368,8.6316,Orlando Magic,2,23,53
88,Travis Leslie,Georgia,SEC,33,78.7,114.0,24.8,51.0,56.05,12.2,13.6,20.6,16.7,109,136,0.801,164,317,0.517,13,43,0.302,2.0,2.3,37.8,Jr,6-04,4.41856,125.394,2.4,2011,all,79.2,1.36620961,119.0,173.0,45.0,144.0,0.6879,0.3125,43.0,47.0,0.9149,Drafted,97.1049,93.3879,3.66211,192.479,8.53735,5.89549,2.64186,8.40951,32.1818,6.57447,1.83505,3.2121,3.9697,7.1818,2.9394,1.2121,0.6061,14.4242,Los Angeles Clippers,2,17,47
89,Isaiah Thomas,Washington,P10,35,79.1,114.3,27.2,51.7,56.25,2.5,9.5,32.7,19.0,151,210,0.719,128,250,0.512,60,172,0.349,0.2,2.3,49.8,Jr,5-09,5.04539,130.894,2.7,2011,all,57.6,2.0480918,85.0,126.0,43.0,124.0,0.6746,0.3468,1.0,3.0,0.3333,Drafted,99.5797,94.9239,3.51267,197.365,6.44643,6.24487,0.201557,7.19152,31.8571,5.9993,1.19221,0.7429,2.7714,3.5143,6.0857,1.3429,0.0571,16.7714,Sacramento Kings,2,30,60
90,Kemba Walker,Connecticut,BE,41,92.4,117.8,31.5,47.8,54.3,3.9,11.5,28.0,11.8,258,315,0.819,241,512,0.471,75,227,0.33,0.5,3.1,42.6,Jr,6-01,7.49948,143.405,1.5,2011,all,97.8,1.9784861,115.0,196.0,126.0,316.0,0.5867,0.3987,3.0,3.0,1.0,Drafted,97.6871,91.1048,4.59401,280.051,11.104,9.07703,2.02696,12.3485,37.6341,9.21951,3.12896,1.2927,4.1463,5.439,4.4878,1.878,0.1707,23.5366,Charlotte Bobcats,1,9,9
91,Jimmy Butler,Marquette,BE,37,86.3,122.0,21.2,51.6,58.67,8.2,12.0,13.2,11.6,188,240,0.783,167,324,0.515,20,58,0.345,1.1,2.4,62.8,Sr,6-06,5.34463,129.53,1.5,2011,all,,1.59253177,106.0,158.0,61.0,166.0,0.6709,0.3675,17.0,17.0,1.0,Drafted,101.483,95.5339,3.76171,229.305,8.14842,6.26759,1.88083,8.54764,34.6486,6.89473,1.65292,2.4324,3.6486,6.0811,2.3243,1.4324,0.3514,15.7297,Chicago Bulls,1,30,30
92,Jordan Hamilton,Texas,B12,36,80.0,113.6,27.1,52.2,55.0,7.0,18.5,14.6,14.3,95,122,0.779,153,318,0.481,90,234,0.385,1.8,1.6,22.1,So,6-07,4.90635,129.112,2.2,2011,all,98.8,0.98700263,67.0,93.0,86.0,225.0,0.7204,0.3822,13.0,14.0,0.9286,Drafted,89.7318,85.4175,4.60922,237.627,8.99992,6.17444,2.82548,10.7346,32.2222,8.31412,2.42047,2.0,5.6667,7.6667,2.1111,0.8611,0.6389,18.6389,Dallas Mavericks,1,26,26
93,Jordan Williams,Maryland,ACC,33,81.3,110.8,23.7,53.8,55.23,12.6,26.0,3.9,11.5,131,228,0.575,213,396,0.538,0,0,0.0,4.1,1.2,57.6,So,6-10,3.87178,119.243,3.0,2011,all,82.4,0.39623934,168.0,262.0,45.0,133.0,0.6412,0.3383,37.0,42.0,0.881,Drafted,89.2014,84.9025,4.74152,263.04,3.64621,1.5545,2.0917,5.37986,32.5152,3.89937,1.4805,3.6667,8.0909,11.7576,0.6364,0.697,1.3636,16.8788,New Jersey Nets,2,6,36
94,Derrick Williams,Arizona,P10,38,74.1,123.1,28.7,65.0,68.97,11.8,21.9,8.7,18.2,247,331,0.746,184,306,0.601,42,74,0.568,2.3,1.9,87.1,So,6-08,5.94204,142.708,3.7,2011,all,81.4,0.43000458,135.0,188.0,49.0,118.0,0.7181,0.4153,56.0,60.0,0.9333,Drafted,96.0426,91.1963,3.67449,238.464,9.3455,7.30197,2.04352,11.2881,30.0263,9.33852,1.9496,2.7632,5.5,8.2632,1.1316,0.9737,0.6842,19.5,Minnesota Timberwolves,1,2,2
95,Darius Morris,Michigan,B10,34,86.4,108.5,29.5,50.6,54.36,3.3,10.9,43.9,18.7,106,148,0.716,178,335,0.531,15,61,0.246,0.1,1.9,37.4,So,6-04,5.1612,127.989,2.5,2011,all,80.2,2.20790428,169.0,243.0,140.0,302.0,0.6955,0.4636,32.0,35.0,0.9143,Drafted,101.434,93.5764,3.99721,188.912,6.6565,4.94817,1.70833,5.80448,34.7941,4.28365,1.52083,0.9118,3.1176,4.0294,6.5588,1.0,0.0294,14.9118,Los Angeles Lakers,2,11,41
96,Alec Burks,Colorado,B12,37,78.2,116.2,32.1,49.8,57.71,9.1,14.7,19.8,15.0,245,298,0.822,215,421,0.511,28,95,0.295,1.0,2.0,57.8,So,6-06,5.79718,138.341,3.0,2011,all,61.4,1.13404034,122.0,186.0,93.0,235.0,0.6559,0.3957,26.0,28.0,0.9286,Drafted,105.007,101.415,2.76887,212.053,5.84106,6.3762,-0.535146,7.23727,31.5946,7.64884,-0.411573,2.3514,4.1081,6.4595,2.973,1.0811,0.2973,20.5135,Utah Jazz,1,12,12
97,Josh Selby,Kansas,B12,26,34.8,94.4,23.3,46.1,48.91,2.4,9.7,17.8,24.4,28,37,0.757,38,99,0.384,34,94,0.362,0.2,2.3,19.2,Fr,6-02,1.24352,102.592,3.3,2011,all,99.6,1.05656117,17.0,33.0,21.0,66.0,0.5152,0.3182,2.0,3.0,0.6667,Drafted,95.7003,89.8294,2.61153,93.2253,1.78194,0.58804,1.1939,1.55024,20.3846,0.136406,1.41383,0.3846,1.8462,2.2308,2.1538,0.8077,0.0385,7.9231,Memphis Grizzlies,2,19,49
98,Tristan Thompson,Texas,B12,36,76.8,107.4,23.1,54.6,53.65,13.9,13.6,8.0,14.5,127,261,0.487,172,315,0.546,0,0,0.0,7.2,1.8,82.9,Fr,6-08,3.34791,116.323,3.6,2011,all,97.8,0.70311623,118.0,163.0,54.0,152.0,0.7239,0.3553,70.0,75.0,0.9333,Drafted,88.6309,84.3695,4.53819,237.951,9.71642,3.73655,5.97987,7.81152,30.9444,4.0139,3.79762,3.8333,4.0,7.8333,1.25,0.9444,2.3889,13.0833,Cleveland Cavaliers,1,4,4
99,Cory Joseph,Texas,B12,36,80.4,110.9,16.8,50.3,52.57,2.2,9.5,17.3,16.1,51,73,0.699,84,196,0.429,52,126,0.413,0.9,1.9,22.7,Fr,6-03,2.82601,110.246,2.2,2011,all,98.0,2.01853339,35.0,73.0,49.0,123.0,0.4795,0.3984,1.0,1.0,1.0,Drafted,94.0606,89.5381,4.17314,198.743,6.62528,3.74323,2.88205,5.54717,32.3889,2.52065,3.02652,0.6389,2.9167,3.5556,3.0278,1.0278,0.3056,10.4167,San Antonio Spurs,1,29,29
