,Nodraft,Yesdraft,Player,Team,Conference
963,1.0,0.0,Dibaji Walker,Massachusetts,A10
964,0.984,0.016,Jayden Gardner,Virginia,ACC
965,1.0,0.0,Gavin Baxter,BYU,WCC
966,1.0,0.0,Everette Hammond,UMass Lowell,AE
967,0.93,0.07,Tolu Smith,Mississippi St.,SEC
968,1.0,0.0,Brendan Medley-Bacon,McNeese St.,Slnd
969,1.0,0.0,TJ Moss,McNeese St.,Slnd
970,0.98,0.02,Xavier Pinson,LSU,SEC
971,1.0,0.0,Torrence Watson,Elon,CAA
972,0.996,0.004,Parker Braun,Santa Clara,WCC
973,1.0,0.0,Danya Kingsby,Grambling St.,SWAC
974,0.93,0.07,Darius Days,LSU,SEC
975,0.986,0.014,Kamaka Hepa,Hawaii,BW
976,0.956,0.044,KJ Williams,Murray St.,OVC
977,0.99,0.01,Diante Wood,Tennessee Tech,OVC
978,1.0,0.0,Gio Nelson,Portland St.,BSky
979,1.0,0.0,Austin Richie,Florida Gulf Coast,ASun
980,0.996,0.004,Jalen Hodge,James Madison,CAA
981,1.0,0.0,Michael Dunne,Hartford,AE
982,0.982,0.018,Kobe Julien,Louisiana Lafayette,SB
983,1.0,0.0,Jacob Boonyasith,UMBC,AE
984,0.998,0.002,Grehlon Easter,Cal St. Bakersfield,BW
985,0.986,0.014,Amanze Ngumezi,Jacksonville St.,OVC
986,0.984,0.016,Tye Fagan,Mississippi,SEC
987,0.994,0.006,Noah Locke,Louisville,ACC
988,0.996,0.004,Andrew Nembhard,Gonzaga,WCC
989,1.0,0.0,Tyrone Lyons,Southern,SWAC
990,1.0,0.0,Casmir Ochiaka,Loyola MD,Pat
991,0.998,0.002,Christian Agnew,UTEP,CUSA
992,1.0,0.0,Brady Heiman,South Dakota,Sum
993,0.978,0.022,Ryan Greer,Northwestern,B10
994,1.0,0.0,Gabe Kalscheur,Iowa St.,B12
995,1.0,0.0,Gabe Brown,Michigan St.,B10
996,0.996,0.004,Amir Harris,George Washington,A10
997,0.998,0.002,Flo Thamba,Baylor,B12
998,0.766,0.234,Osun Osunniyi,St. Bonaventure,A10
999,1.0,0.0,Vince Williams Jr.,VCU,A10
1000,1.0,0.0,P.J. Byrd,Southern,SWAC
1001,0.994,0.006,Darius Beane,Cal St. Northridge,BW
1002,0.998,0.002,Jomaru Brown,Eastern Kentucky,OVC
1003,0.996,0.004,Maros Zeliznak,Jacksonville St.,OVC
1004,0.996,0.004,Cameron Tyson,Seattle,WAC
1005,0.998,0.002,Michael Meadows,Portland,WCC
1006,1.0,0.0,RayQuawndis Mitchell,Illinois Chicago,Horz
1007,0.994,0.006,Victor Ohia Obioha,Pepperdine,WCC
1008,0.97,0.03,Jackson Stormo,Siena,MAAC
1009,0.994,0.006,Gus Okafor,Southeastern Louisiana,Slnd
1010,1.0,0.0,Ludovic Dufeal,Gardner Webb,BSth
1011,1.0,0.0,Rob Peterson III,High Point,BSth
1012,0.994,0.006,LJ Thorpe,UNC Asheville,BSth
1013,0.996,0.004,Trevon Faulkner,Northern Kentucky,Horz
1014,0.988,0.012,Adrian Nelson,Northern Kentucky,Horz
1015,0.998,0.002,Braden Norris,Loyola Chicago,MVC
1016,0.998,0.002,Nick Honor,Clemson,ACC
1017,0.998,0.002,Harrison Butler,Southern Utah,BSky
1018,1.0,0.0,Serrel Smith,South Florida,Amer
1019,0.996,0.004,Sasha Stefanovic,Purdue,B10
1020,1.0,0.0,Austin Rotroff,Duquesne,A10
1021,0.992,0.008,Richard Njoku,Navy,Pat
1022,1.0,0.0,Jaylin Andrews,Loyola MD,Pat
1023,1.0,0.0,Kenneth Jones,Loyola MD,Pat
1024,1.0,0.0,Tray Maddox Jr.,Cal St. Fullerton,BW
1025,1.0,0.0,Christian Silva,Navy,Pat
1026,0.998,0.002,Malik Martin,Rhode Island,A10
1027,1.0,0.0,Cooper Robb,Eastern Kentucky,OVC
1028,1.0,0.0,Brandon Younger,Presbyterian,BSth
1029,1.0,0.0,Jaylen Sebree,Morehead St.,OVC
1030,0.974,0.026,James Akinjo,Baylor,B12
1031,1.0,0.0,Dravon Mangum,Radford,BSth
1032,0.992,0.008,Zep Jasper,Auburn,SEC
1033,1.0,0.0,Calvin Wishart,UC Santa Barbara,BW
1034,0.998,0.002,Elijah McCadden,Georgia Southern,SB
1035,1.0,0.0,Nelson Phillips,Georgia St.,SB
1036,0.998,0.002,Jared Bynum,Providence,BE
1037,0.994,0.006,Jake Wojcik,Fairfield,MAAC
1038,0.998,0.002,Souleymane Koureissi,Richmond,A10
1039,1.0,0.0,Andre Gustavson,Richmond,A10
1040,0.992,0.008,Matt Grace,Richmond,A10
1041,1.0,0.0,Sy Chatman,Illinois St.,MVC
1042,1.0,0.0,Omar Silverio,Hofstra,CAA
1043,1.0,0.0,Tre Wood,LIU Brooklyn,NEC
1044,1.0,0.0,Samba Diallo,Manhattan,MAAC
1045,0.968,0.032,Michael Devoe,Georgia Tech,ACC
1046,0.998,0.002,Diego Willis,Stephen F. Austin,WAC
1047,1.0,0.0,Joey Baker,Duke,ACC
1048,0.996,0.004,Blake Preston,Liberty,ASun
1049,0.994,0.006,Myles Dread,Penn St.,B10
1050,0.938,0.062,Ryan Young,Northwestern,B10
1051,1.0,0.0,Miller Kopp,Indiana,B10
1052,1.0,0.0,Luther Muhammad,Arizona St.,P12
1053,0.992,0.008,Pete Nance,Northwestern,B10
1054,0.984,0.016,Justin Ahrens,Ohio St.,B10
1055,0.816,0.184,Myreon Jones,Florida,SEC
1056,0.936,0.064,John Knight III,Southern Utah,BSky
1057,0.99,0.01,Jules Bernard,UCLA,P12
1058,0.974,0.026,Kyle Lofton,St. Bonaventure,A10
1059,1.0,0.0,Kenneth Nwuba,UCLA,P12
1060,1.0,0.0,Ben Harvey,Southern Illinois,MVC
1061,1.0,0.0,Jordan McCabe,UNLV,MWC
1062,0.998,0.002,Emmitt Matthews Jr.,Washington,P12
1063,1.0,0.0,Austin Fadal,Eastern Washington,BSky
1064,1.0,0.0,Francisco Caffaro,Virginia,ACC
1065,1.0,0.0,Brendan Thiele,Army,Pat
1066,0.996,0.004,Cameron Copeland,Austin Peay,OVC
1067,0.998,0.002,Carter Hendricksen,North Florida,ASun
1068,0.996,0.004,Dorian James,North Florida,ASun
1069,1.0,0.0,Trevante Anderson,Idaho,BSky
1070,1.0,0.0,Dan Fotu,Saint Mary's,WCC
1071,0.996,0.004,Matthias Tass,Saint Mary's,WCC
1072,1.0,0.0,Quinn Clinton,Saint Mary's,WCC
1073,0.994,0.006,Dane Goodwin,Notre Dame,ACC
1074,1.0,0.0,Malik Jefferson,Mount St. Mary's,NEC
1075,1.0,0.0,Dee Barnes,Southern Utah,BSky
1076,1.0,0.0,Chidozie Collin Nnamene,Morgan St.,MEAC
1077,1.0,0.0,Kris Wooten,Elon,CAA
1078,1.0,0.0,Bryce Washington,Penn,Ivy
1079,1.0,0.0,Anthony Crump,Northern Illinois,MAC
1080,1.0,0.0,Kyle Colvin,Cal Poly,BW
1081,0.994,0.006,Elijah Harkless,Oklahoma,B12
1082,1.0,0.0,Darius Brown II,Cal St. Northridge,BW
1083,1.0,0.0,Brendan Harrick,Cal St. Northridge,BW
1084,0.99,0.01,James Manns,Wright St.,Horz
1085,1.0,0.0,Jeameril Wilson,Lehigh,Pat
1086,1.0,0.0,Tyrone Perry,Lafayette,Pat
1087,0.998,0.002,Sean Good,Lafayette,Pat
1088,0.896,0.104,DeAndre Williams,Memphis,Amer
1089,1.0,0.0,Nic Lynch,Lehigh,Pat
1090,1.0,0.0,Blake Harris,North Carolina A&T,MEAC
1091,0.996,0.004,Trey McGowens,Nebraska,B10
1092,0.998,0.002,LaDarius Marshall,Alcorn St.,SWAC
1093,0.998,0.002,Kristian Sjolund,Portland,WCC
1094,1.0,0.0,Kameron Gibson,Vermont,AE
1095,0.954,0.046,Jake Stephens,VMI,SC
1096,1.0,0.0,Ryan Larson,Wofford,SC
1097,0.982,0.018,Isaiah Bigelow,Wofford,SC
1098,0.964,0.036,Messiah Jones,Wofford,SC
1099,0.998,0.002,Kris Monroe,North Carolina Central,MEAC
1100,1.0,0.0,SK Shittu,Central Arkansas,Slnd
1101,0.998,0.002,Jericole Hellems,North Carolina St.,ACC
1102,0.986,0.014,Tyrese Martin,Connecticut,BE
1103,1.0,0.0,Jamal Hartwell II,George Mason,A10
1104,0.98,0.02,Jordan Miller,Miami FL,ACC
1105,0.982,0.018,Berrick JeanLouis,Iona,MAAC
1106,0.998,0.002,Elijah McNamara,Miami OH,MAC
1107,0.996,0.004,Mekhi Lairy,Miami OH,MAC
1108,1.0,0.0,Myja White,Miami OH,MAC
1109,0.996,0.004,Anthony Roberts,Stony Brook,AE
1110,1.0,0.0,DeAndre Gholston,Milwaukee,Horz
1111,0.996,0.004,Malik Miller,Morgan St.,MEAC
1112,0.98,0.02,Tajion Jones,UNC Asheville,BSth
1113,1.0,0.0,Brock Cunningham,Texas,B12
1114,1.0,0.0,Aleks Novakovich,Delaware,CAA
1115,1.0,0.0,Raymond Bethea Jr.,Hampton,BSth
1116,0.998,0.002,Spencer Rodgers,Kennesaw St.,ASun
1117,0.99,0.01,Au'Diese Toney,Arkansas,SEC
1118,0.998,0.002,Ezekiel Richards,Northern Arizona,BSky
1119,0.998,0.002,Trey Wertz,Notre Dame,ACC
1120,0.996,0.004,Keshawn Justice,Santa Clara,WCC
1121,1.0,0.0,Jake Wolfe,Morehead St.,OVC
1122,1.0,0.0,Vado Morse,James Madison,CAA
1123,1.0,0.0,Trajan Wesley,Louisiana Lafayette,SB
1124,0.992,0.008,Uros Plavsic,Tennessee,SEC
1125,1.0,0.0,Lamar Norman Jr.,Western Michigan,MAC
1126,1.0,0.0,Micheal Anumba,Winthrop,BSth
1127,1.0,0.0,Rashad Williams,Saint Louis,A10
1128,1.0,0.0,Dawson Carper,Missouri St.,MVC
1129,1.0,0.0,Mate Colina,Hawaii,BW
1130,0.964,0.036,Theo Akwuba,Louisiana Lafayette,SB
1131,0.998,0.002,Elijah Weaver,Dayton,A10
1132,0.988,0.012,Walter Ellis,Grand Canyon,WAC
1133,0.998,0.002,Andrew Funk,Bucknell,Pat
1134,0.998,0.002,Jack Hemphill,St. Francis NY,NEC
1135,0.998,0.002,Fletcher Tynen,Boston University,Pat
1136,0.998,0.002,Tucker Richardson,Colgate,Pat
1137,1.0,0.0,Kahliel Spear,Robert Morris,Horz
1138,1.0,0.0,Zach Light,Colgate,Pat
1139,0.992,0.008,Marlon Hargis,St. Francis PA,NEC
1140,0.984,0.016,Ben Vander Plas,Ohio,MAC
1141,0.996,0.004,LaQuill Hardnett,Buffalo,MAC
1142,0.998,0.002,Szymon Wojcik,UMBC,AE
1143,1.0,0.0,Damien Daniels,Abilene Christian,Slnd
1144,1.0,0.0,Joe Pleasant,Wichita St.,Amer
1145,0.854,0.146,Yor Anei,DePaul,BE
1146,0.994,0.006,Joe Reece,Bowling Green,MAC
1147,0.99,0.01,Jason Wade,Old Dominion,CUSA
1148,0.974,0.026,Kalu Ezikpe,Old Dominion,CUSA
1149,0.998,0.002,Nicolas Timberlake,Towson,CAA
1150,0.992,0.008,Javon Pickett,Missouri,SEC
1151,0.998,0.002,Isaac Suffren,Howard,MEAC
1152,1.0,0.0,Jamir Moore,Charleston Southern,BSth
1153,0.888,0.112,Tyger Campbell,UCLA,P12
1154,1.0,0.0,Sadarius Bowser,Charleston Southern,BSth
1155,1.0,0.0,Connor Arnold,VMI,SC
1156,0.99,0.01,Dominick Welch,St. Bonaventure,A10
1157,0.996,0.004,John Walker III,Texas Southern,SWAC
1158,0.962,0.038,Noah Gurley,Alabama,SEC
1159,1.0,0.0,Elijah McCullough,Sacramento St.,BSky
1160,0.996,0.004,Trey Wood,Portland St.,BSky
1161,0.996,0.004,Sherwyn Devonish,Morgan St.,MEAC
1162,1.0,0.0,Shareef O'Neal,LSU,SEC
1163,0.992,0.008,Isaiah Burke,Morgan St.,MEAC
1164,0.98,0.02,Gerrale Gates,Holy Cross,Pat
1165,0.998,0.002,Ty Perry,Buffalo,MAC
1166,0.998,0.002,Chris Austin,Portland,WCC
1167,0.996,0.004,Jalen Cobb,Fordham,A10
1168,1.0,0.0,Sincere Carry,Kent St.,MAC
1169,0.98,0.02,Tobias Cameron,Abilene Christian,Slnd
1170,0.996,0.004,Khalid Moore,Georgia Tech,ACC
1171,0.998,0.002,Alex Caldwell,North Carolina Central,MEAC
1172,1.0,0.0,Michael Anekwe,Lafayette,Pat
1173,1.0,0.0,Derek Ballard Jr.,Eastern Michigan,MAC
1174,1.0,0.0,Zion Young,Oakland,Horz
1175,0.984,0.016,Jordan Brown,Louisiana Lafayette,SB
1176,1.0,0.0,Matt Harshany,Cornell,Ivy
1177,1.0,0.0,Kobe Dickson,Cornell,Ivy
1178,0.98,0.02,AJ Edu,Toledo,MAC
1179,0.992,0.008,Jaylan Gainey,Brown,Ivy
1180,1.0,0.0,David Mitchell,Brown,Ivy
1181,1.0,0.0,Cameron Ba,UC Davis,BW
1182,1.0,0.0,Davis Franks,Brown,Ivy
1183,0.98,0.02,Ike Nweke,Columbia,Ivy
1184,1.0,0.0,Maka Ellis,Columbia,Ivy
1185,0.944,0.056,Adam Flagler,Baylor,B12
1186,1.0,0.0,Matt Mims,South Dakota St.,Sum
1187,1.0,0.0,Daxton Carr,Idaho St.,BSky
1188,0.966,0.034,Jayden Saddler,Southern,SWAC
1189,1.0,0.0,Patrick Emilien,St. Francis NY,NEC
1190,1.0,0.0,Adrian Martin,Western Michigan,MAC
1191,1.0,0.0,Garrett Pascoe,Boston University,Pat
1192,0.994,0.006,Alex Arians,South Dakota St.,Sum
1193,1.0,0.0,Elijah Hardy,Cal St. Northridge,BW
1194,0.998,0.002,Darian Scott,Missouri St.,MVC
1195,0.996,0.004,Riley Sorn,Washington,P12
1196,1.0,0.0,Dalvin White,USC Upstate,BSth
1197,0.998,0.002,Ebrima Dibba,Coastal Carolina,SB
1198,1.0,0.0,Deacon Heath,UNC Asheville,BSth
1199,0.966,0.034,Kur Kuath,Marquette,BE
1200,1.0,0.0,Lat Mayen,Nebraska,B10
1201,0.998,0.002,Jaxson Baker,Central Arkansas,Slnd
1202,0.992,0.008,Neftali Alvarez,Mercer,SC
1203,1.0,0.0,Derek Sabin,Belmont,OVC
1204,1.0,0.0,Franklin Agunanne,SMU,Amer
1205,0.976,0.024,Adam Kunkel,Xavier,BE
1206,1.0,0.0,Wanjang Tut,Nebraska Omaha,Sum
1207,0.998,0.002,Dzmitry Ryuny,San Francisco,WCC
1208,0.9,0.1,Kevin Obanor,Texas Tech,B12
1209,0.994,0.006,Riley Battin,Utah,P12
1210,0.998,0.002,Finn Sullivan,Vermont,AE
1211,0.964,0.036,Manny Bates,North Carolina St.,ACC
1212,0.998,0.002,Tevian Jones,Southern Utah,BSky
1213,0.998,0.002,Lahat Thioune,Utah,P12
1214,0.896,0.104,Eric Ayala,Maryland,B10
1215,0.998,0.002,Jr. Clay,Tennessee Tech,OVC
1216,1.0,0.0,Sage Tolbert,Temple,Amer
1217,0.992,0.008,Gabe McGlothan,Grand Canyon,WAC
1218,1.0,0.0,Monty Johal,Tennessee St.,OVC
1219,0.996,0.004,Matt Dentlinger,South Dakota St.,Sum
1220,1.0,0.0,Savion Lewis,Quinnipiac,MAAC
1221,1.0,0.0,Matt Balanc,Quinnipiac,MAAC
1222,0.996,0.004,CJ Fredrick,Kentucky,SEC
1223,1.0,0.0,Tyree Pickron,LIU Brooklyn,NEC
1224,1.0,0.0,Tyrese Williams,Quinnipiac,MAAC
1225,0.998,0.002,R.J. Eytle-Rock,Utah St.,MWC
1226,0.996,0.004,Jose Placer,North Florida,ASun
1227,1.0,0.0,Rip Economou,Seattle,WAC
1228,0.978,0.022,Stephane Ingo,Maine,AE
1229,0.998,0.002,Hunter Thompson,Wyoming,MWC
1230,1.0,0.0,Frankie Policelli,Stony Brook,AE
1231,0.98,0.02,Reggie Chaney,Houston,Amer
1232,0.998,0.002,Dwayne Cohill,Youngstown St.,Horz
1233,0.99,0.01,Dylan Swingle,Bowling Green,MAC
1234,1.0,0.0,Nygal Russell,Southeast Missouri St.,OVC
1235,1.0,0.0,Elochukwu Eze,SIU Edwardsville,OVC
1236,0.994,0.006,Cam Williams,SIU Edwardsville,OVC
1237,1.0,0.0,Keonte Kennedy,UTEP,CUSA
1238,1.0,0.0,Grayson Carter,Texas Southern,SWAC
1239,0.978,0.022,Kevin Samuel,Florida Gulf Coast,ASun
1240,0.974,0.026,Isaih Moore,Southern Miss,CUSA
1241,0.998,0.002,Zach Nutall,SMU,Amer
1242,1.0,0.0,Jalen Jefferson,Mount St. Mary's,NEC
1243,0.962,0.038,Ron Harper Jr.,Rutgers,B10
1244,1.0,0.0,Caleb Broodo,Houston,Amer
1245,1.0,0.0,Eddy Kayouloud,Central Arkansas,Slnd
1246,1.0,0.0,Garrison Wade,Dartmouth,Ivy
1247,0.998,0.002,Dean Noll,Cornell,Ivy
1248,1.0,0.0,Max Samberg,Cornell,Ivy
1249,1.0,0.0,JC Butler,UC Irvine,BW
1250,1.0,0.0,Wes Slajchert,Dartmouth,Ivy
1251,1.0,0.0,Assane Diouf,Austin Peay,OVC
1252,0.97,0.03,Ogheneyole Akuwovo,Binghamton,AE
1253,1.0,0.0,Tae Hardy,Southern Miss,CUSA
1254,0.998,0.002,David Singleton,UCLA,P12
1255,1.0,0.0,Nate Springs,Kennesaw St.,ASun
1256,0.998,0.002,Michael Feinberg,Yale,Ivy
1257,0.966,0.034,Buddy Boeheim,Syracuse,ACC
1258,0.998,0.002,Both Gach,Utah,P12
1259,0.938,0.062,Tevin Brown,Murray St.,OVC
1260,0.996,0.004,Qon Murphy,New Hampshire,AE
1261,0.994,0.006,Dwight Murray Jr.,Rider,MAAC
1262,1.0,0.0,Joseph Lanzi,College of Charleston,CAA
1263,1.0,0.0,Taelyr Gatlin,Denver,Sum
1264,0.996,0.004,Jase Townsend,San Diego,WCC
1265,1.0,0.0,David Nzekwesi,Weber St.,BSky
1266,1.0,0.0,Jarred Godfrey,Fort Wayne,Horz
1267,0.964,0.036,Cody Riley,UCLA,P12
1268,1.0,0.0,Samba Kane,Milwaukee,Horz
1269,1.0,0.0,Jordan Campbell,Fresno St.,MWC
1270,0.998,0.002,Carlos Jurgens,Oral Roberts,Sum
1271,1.0,0.0,Jaxon Knotek,American,Pat
1272,1.0,0.0,Shakur Daniel,Tarleton St.,WAC
1273,1.0,0.0,Daivon Stephens,Jacksonville,ASun
1274,0.998,0.002,Sam Griesel,North Dakota St.,Sum
1275,1.0,0.0,Gerald Liddell,Alabama St.,SWAC
1276,0.996,0.004,Courtney Ramey,Texas,B12
1277,1.0,0.0,Jarius Cook,North Dakota St.,Sum
1278,1.0,0.0,Kaleb Hunter,UNC Greensboro,SC
1279,0.994,0.006,Alex Rivera,LIU Brooklyn,NEC
1280,1.0,0.0,Allin Blunt,UMass Lowell,AE
1281,1.0,0.0,Bryce Daley,UMass Lowell,AE
1282,1.0,0.0,Alex Christie,Stony Brook,AE
1283,0.994,0.006,Samuel Sessoms,Penn St.,B10
1284,0.972,0.028,Dontarius James,Howard,MEAC
1285,0.994,0.006,Desi Sills,Arkansas St.,SB
1286,1.0,0.0,Keyshawn Embery-Simpson,Tulsa,Amer
1287,0.984,0.016,Luka Brajkovic,Davidson,A10
1288,0.998,0.002,Ethan Henderson,Texas A&M,SEC
1289,0.924,0.076,Antoine Davis,Detroit,Horz
1290,1.0,0.0,Chuck Hannah,Elon,CAA
1291,1.0,0.0,Angus McWilliam,UC Riverside,BW
1292,0.998,0.002,Devonaire Doutrive,Boise St.,MWC
1293,0.97,0.03,Jemarl Baker Jr.,Fresno St.,MWC
1294,0.988,0.012,Adam Thistlewood,Colorado St.,MWC
1295,1.0,0.0,Riley Abercrombie,Rice,CUSA
1296,0.994,0.006,Taeshon Cherry,Grand Canyon,WAC
1297,1.0,0.0,Kendle Moore,Colorado St.,MWC
1298,0.966,0.034,Cameron Shelton,Loyola Marymount,WCC
1299,0.998,0.002,Keith Haymon,Northern Arizona,BSky
1300,1.0,0.0,Tre'Shon Smoots,Northern Colorado,BSky
1301,0.982,0.018,Jared Rhoden,Seton Hall,BE
1302,0.984,0.016,Anthony Nelson,Manhattan,MAAC
1303,0.992,0.008,Nigel Hawkins,Stephen F. Austin,Slnd
1304,1.0,0.0,Daniel Sackey,New Orleans,Slnd
1305,1.0,0.0,Vante Hendrix,Cal St. Northridge,BW
1306,0.974,0.026,Matthew Mayer,Baylor,B12
1307,0.996,0.004,Malachi Smith,Chattanooga,SC
1308,0.988,0.012,Grant Basile,Wright St.,Horz
1309,1.0,0.0,Babatunde Sowunmi,Oakland,Horz
1310,0.998,0.002,Skyelar Potter,Morehead St.,OVC
1311,0.99,0.01,Bodie Hume,Northern Colorado,BSky
1312,1.0,0.0,Nelson Boachie-Yiadom,Davidson,A10
1313,0.992,0.008,Josh Roberts,Manhattan,MAAC
1314,1.0,0.0,Matthue Cotton,Yale,Ivy
1315,0.996,0.004,Eze Dike,Yale,Ivy
1316,1.0,0.0,Griffin Ryan,Penn,Ivy
1317,1.0,0.0,Alex Imegwu,Penn,Ivy
1318,1.0,0.0,Aguek Arop,San Diego St.,MWC
1319,0.996,0.004,Tyree Eady,North Dakota St.,Sum
1320,0.998,0.002,Austin Ash,Iowa,B10
1321,0.994,0.006,Mack Anderson,Montana,BSky
1322,0.996,0.004,Jalen Gabbidon,Yale,Ivy
1323,0.998,0.002,Kenny Strawbridge,Alabama St.,SWAC
1324,0.964,0.036,Evan Battey,Colorado,P12
1325,1.0,0.0,Brandon Swaby,Incarnate Word,Slnd
1326,1.0,0.0,DJ Peavy,Austin Peay,OVC
1327,0.998,0.002,Andrew Taylor,Marshall,CUSA
1328,0.954,0.046,Fardaws Aimaq,Utah Valley,WAC
1329,1.0,0.0,Noah Buono,Duquesne,A10
1330,0.996,0.004,Keshaun Saunders,Toledo,MAC
1331,1.0,0.0,Deng Gak,Miami FL,ACC
1332,1.0,0.0,Ivan Alipiev,Loyola Marymount,WCC
1333,0.986,0.014,Dameane Douglas,Loyola Marymount,WCC
1334,1.0,0.0,Javian Davis,Mississippi St.,SEC
1335,1.0,0.0,Tai Strickland,Temple,Amer
1336,1.0,0.0,Joe Hedstrom,Valparaiso,MVC
1337,0.994,0.006,Alexis Yetna,Seton Hall,BE
1338,1.0,0.0,Davion Buster,Lamar,Slnd
1339,0.968,0.032,Timmy Allen,Texas,B12
1340,0.996,0.004,Noah Kirkwood,Harvard,Ivy
1341,0.998,0.002,J'Raan Brooks,UC San Diego,BW
1342,1.0,0.0,Tamell Pearson,Western Illinois,Sum
1343,1.0,0.0,Jake Lanford,Yale,Ivy
1344,1.0,0.0,Ricky Clemons,Campbell,BSth
1345,0.998,0.002,Matt Johnson II,Northern Colorado,BSky
1346,1.0,0.0,Leo Gallagher,Binghamton,AE
1347,1.0,0.0,Clayton Henry,New Mexico St.,WAC
1348,1.0,0.0,Cyrus Johnson,Sam Houston St.,Slnd
1349,1.0,0.0,Jayden Nixon,Virginia,ACC
1350,1.0,0.0,Ian Burke,Portland St.,BSky
1351,0.998,0.002,Myron Gordon,Bowling Green,MAC
1352,0.998,0.002,Khyre Thompson,UNC Greensboro,SC
1353,0.996,0.004,Parker Fox,Clemson,ACC
1354,0.982,0.018,Chris Brandon,Northern Kentucky,Horz
1355,0.998,0.002,Jonas Harper,Boston University,Pat
1356,1.0,0.0,Andrew Lafond,La Salle,A10
1357,1.0,0.0,Brandon Courtney,Saint Louis,A10
1358,1.0,0.0,Bernie Andre,Tennessee Martin,OVC
1359,1.0,0.0,Grant Weatherford,Georgia Southern,SB
1360,1.0,0.0,Matt Vail,Seattle,WAC
1361,1.0,0.0,Joe Wall,Seattle,WAC
1362,0.998,0.002,Greg Summers,Navy,Pat
1363,1.0,0.0,John Carter Jr.,Navy,Pat
1364,1.0,0.0,Jayce Johnson,Siena,MAAC
1365,1.0,0.0,Matthew Lang,Gonzaga,WCC
1366,1.0,0.0,John Scully,Army,Pat
1367,1.0,0.0,Josh Caldwell,Army,Pat
1368,1.0,0.0,Jordan Coleman,Army,Pat
1369,0.998,0.002,Aaron Duhart,Army,Pat
1370,1.0,0.0,Elijah Elliott,Stephen F. Austin,Slnd
1371,0.998,0.002,Abdul Mohamed,Montana St.,BSky
1372,1.0,0.0,Luke Thomas,Marshall,CUSA
1373,1.0,0.0,Will Alcock,Loyola Chicago,MVC
1374,0.996,0.004,Patrick Urey,Mercer,SC
1375,1.0,0.0,Kevin Garrison,Vermont,AE
1376,1.0,0.0,David Wassler,Northern Kentucky,Horz
1377,0.99,0.01,Shaun Doss,SIU Edwardsville,OVC
1378,1.0,0.0,Ryan Anders,UCF,Amer
1379,1.0,0.0,Eito Yuminami,Georgia Southern,SB
1380,0.994,0.006,Patrick Mwamba,UT Arlington,SB
1381,1.0,0.0,Thomas Owen,Jacksonville,ASun
1382,1.0,0.0,Nathan McClure,IUPUI,Horz
1383,1.0,0.0,Blake Welle,California,P12
1384,1.0,0.0,Tyreek Scott-Grayson,Northeastern,CAA
1385,1.0,0.0,Derek St. Hilaire,New Orleans,Slnd
1386,1.0,0.0,JJ Murray,North Texas,CUSA
1387,0.99,0.01,Josh Jefferson,Middle Tennessee,CUSA
1388,0.998,0.002,Abdou Ndiaye,Illinois St.,MVC
1389,0.988,0.012,Robinson Idehen,UC Santa Barbara,BW
1390,0.994,0.006,Freddy Brown III,Montana,BSky
1391,1.0,0.0,Fahim Jenetto,Delaware St.,MEAC
1392,1.0,0.0,A.J. Labriola,St. Francis PA,NEC
1393,0.994,0.006,Tyler Stevenson,Southern Miss,CUSA
1394,1.0,0.0,Raef Gerdes,Grand Canyon,WAC
1395,0.95,0.05,Tyrece Radford,Texas A&M,SEC
1396,0.998,0.002,Prince Toyambi,Georgia Southern,SB
1397,1.0,0.0,Britton Johnson,Alabama,SEC
1398,0.998,0.002,Trey Smith,San Jose St.,MWC
1399,0.998,0.002,Michael Steadman,Massachusetts,A10
1400,0.998,0.002,Willy Isiani,Detroit,Horz
1401,0.992,0.008,Garrett Sturtz,Drake,MVC
1402,0.998,0.002,Ramiir Dixon-Conover,St. Francis PA,NEC
1403,0.996,0.004,Harrison Curry,Siena,MAAC
1404,1.0,0.0,Terrell Curtis II,Little Rock,SB
1405,1.0,0.0,James Ametepe,FIU,CUSA
1406,1.0,0.0,Ronald Lucas,Delaware St.,MEAC
1407,1.0,0.0,Richardson Maitre,Samford,SC
1408,0.998,0.002,Silas Adheke,East Tennessee St.,SC
1409,1.0,0.0,Jordan Arroyo,New Mexico,MWC
1410,0.998,0.002,Tremell Murphy,Drake,MVC
1411,0.996,0.004,D.J. Wilkins,Drake,MVC
1412,0.994,0.006,Jay Yoon,Pepperdine,WCC
1413,1.0,0.0,Marvin Cannon,Charlotte,CUSA
1414,0.99,0.01,Ty Rowell,Cal Baptist,WAC
1415,0.984,0.016,Nikola Maric,Little Rock,SB
1416,1.0,0.0,Miles Turner,Portland,WCC
1417,1.0,0.0,Kale Walters,Louisiana Tech,CUSA
1418,0.936,0.064,Terrell Brown Jr.,Washington,P12
1419,1.0,0.0,John McBride,Mississippi,SEC
1420,1.0,0.0,Robert Mahala,Siena,MAAC
1421,1.0,0.0,Abe Kinrade,Air Force,MWC
1422,1.0,0.0,Nick Rene,Air Force,MWC
1423,0.98,0.02,A.J. Walker,Air Force,MWC
1424,1.0,0.0,Andrew Junkin,Elon,CAA
1425,0.986,0.014,Brandon Mahan,UCF,Amer
1426,0.996,0.004,Luke McGhee,Texas A&M,SEC
1427,1.0,0.0,Sam Beskind,Stanford,P12
1428,1.0,0.0,Michael Cubbage,St. Francis NY,NEC
