,id,Nodraft,Yesdraft,Player,Team,Conference,Games Played,Minutes Percentage,Offensive Rating,True Shooting Percentage,Assist Percentage,Turnover Percentage,Block Percentage,Free Throw Percentage,Points Over Replacement Per Adjusted Game,Adjusted Offensive Efficiency
3122,3122,1.0,0.0,Colin Granger,Ohio,MAC,21,13.8,82.2,40.88,3.6,25.5,0.0,0.5,-0.16602,77.6442
3123,3123,0.996,0.004,Rifen Miguel,Troy,SB,12,8.8,74.9,46.06,0.0,31.8,1.4,0.786,-0.155054,78.8723
3124,3124,0.948,0.052,JT Shumate,Toledo,MAC,23,54.1,135.1,68.16,8.8,11.4,4.9,0.823,3.99576,126.225
3125,3125,1.0,0.0,Jalin Anderson,Loyola Marymount,WCC,21,74.1,87.7,42.11,21.0,24.1,0.9,0.778,0.339481,88.4063
3126,3126,0.996,0.004,Christian Shumate,McNeese St.,Slnd,6,3.6,75.4,66.89,0.0,45.4,12.5,0.0,-0.123718,78.1251
3127,3127,1.0,0.0,Ari Seals,Tulsa,Amer,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.320546,-7.12058
3128,3128,0.996,0.004,Woody Newton,Oklahoma St.,B12,11,7.7,108.0,59.75,2.2,14.2,4.0,0.625,0.655398,109.408
3129,3129,1.0,0.0,E.J. Clark,Alabama St.,SWAC,12,34.0,92.5,45.47,16.5,18.1,0.0,0.84,-0.099671,83.8489
3130,3130,1.0,0.0,Sam Mervis,Indiana St.,MVC,4,0.5,200.0,100.0,0.0,0.0,0.0,0.0,0.369102,170.351
3131,3131,0.998,0.002,Luka Eller,Miami OH,MAC,6,2.0,122.9,60.0,0.0,0.0,6.5,0.0,0.224294,106.802
3132,3132,0.992,0.008,Jackson Ames,Miami OH,MAC,8,3.3,123.2,63.29,0.0,12.2,8.1,0.5,0.383058,115.709
3133,3133,1.0,0.0,Jace Howard,Michigan,B10,11,3.0,79.8,51.06,0.0,24.0,0.0,0.5,0.0172676,86.8657
3134,3134,1.0,0.0,Max Burchill,South Dakota,Sum,5,1.9,85.5,30.0,18.2,16.3,0.0,0.0,-0.0514401,81.1379
3135,3135,1.0,0.0,Cem Kirciman,Green Bay,Horz,19,15.0,92.2,47.88,8.0,23.5,3.4,0.8,-0.0649741,82.885
3136,3136,1.0,0.0,Taj Thweatt,West Virginia,B12,9,2.0,66.4,28.57,23.0,26.8,0.0,0.0,-0.141851,69.2595
3137,3137,1.0,0.0,Michael Matas,SIU Edwardsville,OVC,19,19.5,98.0,53.26,2.1,20.2,2.3,0.773,0.223265,91.5249
